This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195510  -1.46  -0.83  -1.22  -3.09  -1.60  -3.28
195511   6.08   4.84   5.21   7.97   5.77   9.72
195512   3.53   2.32   2.50   1.90   1.86  -1.70
195601  -2.43  -2.03  -1.75  -3.99  -1.08  -2.36
195602   1.98   3.68   2.47   5.00   2.75   3.46
195603   3.89   3.81   5.01   7.19   7.19   5.20
195604   1.21   0.81   0.14  -0.05   1.28   0.81
195605  -3.65  -4.00  -4.54  -5.06  -4.83  -6.63
195606   1.12   2.48   1.37   4.66   2.85   1.75
195607   3.30   3.43   3.47   4.85   5.74   4.91
195608   0.50  -0.98  -2.09  -3.20  -3.06  -3.12
195609  -3.33  -3.05  -2.10  -5.94  -3.76  -3.68
195610   1.16   0.97   0.39   0.63   0.87   1.34
195611  -0.17   0.19   2.25  -0.28   2.19   0.60
195612   4.52   2.09   2.18   3.42   3.99   1.66
195701  -0.18   0.09   2.06  -4.33  -2.99  -1.69
195702  -2.81  -3.27  -2.70  -1.70  -1.68  -3.09
195703   2.08   2.60   2.30   2.70   1.90   1.72
195704   2.08   2.32   2.24   5.34   4.02   2.63
195705   3.09   1.26   1.75   4.63   2.91   1.84
195706   0.23  -1.25   0.75   0.00  -1.34  -0.73
195707   0.25   0.71   0.39   1.28   0.54   1.08
195708  -5.21  -4.42  -5.16  -5.44  -3.19  -6.10
195709  -7.13  -4.92  -5.05  -6.34  -4.31  -6.62
195710  -8.32  -5.65  -8.24  -3.79  -3.35  -7.32
195711   3.04   1.45   1.07   3.11   1.99  -0.55
195712  -4.56  -4.66  -5.85  -3.90  -2.37  -6.01
195801  12.00  10.47  11.96   3.41   5.97  12.02
195802  -1.63  -0.48  -0.51  -1.81  -0.54  -2.39
195803   5.46   3.82   3.08   3.41   3.20   3.35
195804   3.07   1.65   4.36   3.31   2.51   5.23
195805   6.31   4.26   4.24   2.06   2.61   3.71
195806   1.91   3.28   2.98   3.13   2.70   3.09
195807   4.27   6.12   7.11   4.39   3.91   7.72
195808   4.35   3.11   3.16   1.69   1.88   3.50
195809   5.50   4.29   7.97   4.74   4.36   8.25
195810   6.92   2.83   3.09   2.65   2.63   4.10
195811   7.68   4.19   4.06   3.33   2.13   4.38
195812   2.83   3.21   3.67   4.97   6.94   3.96
195901   4.37   5.17   5.68  -0.63   2.71   4.15
195902   2.52   3.70   2.76   0.55   1.53   2.28
195903   1.67   1.57   1.73   0.70  -0.02  -0.14
195904   3.97   3.41   2.16   4.74   2.52   3.87
195905  -1.22   0.40   1.43   2.73   0.59   3.69
195906   1.65   0.58   1.88  -0.39   0.39   2.10
195907   2.13   2.77   3.56   3.97   2.43   3.09
195908  -1.86  -1.21  -2.03  -1.36  -1.00  -0.37
195909  -5.37  -4.57  -3.98  -5.00  -3.26  -5.40
195910   3.99   2.52   1.18   1.44   1.79   0.21
