Date,Open,High,Low,Close,Volume,Adj Close,
3/10/2009,85.11,87.25,83.64,87.25,15914800,79.63,
3/9/2009,84.7,86.8,83.02,83.48,13151800,76.18,
3/6/2009,87.47,88.25,83.81,85.81,15186000,78.31,
3/5/2009,88.13,90.16,87.02,87.48,14930100,79.84,
3/4/2009,88.97,91.24,87.6,89.49,15391700,81.67,
3/3/2009,90.16,90.18,87.19,87.77,13744100,80.1,
3/2/2009,91.17,91.9,88.75,89.05,15231700,81.27,
2/27/2009,88.12,93.28,88.01,92.03,21311200,83.99,
2/26/2009,86.85,90.2,86.33,88.97,17423200,81.2,
2/25/2009,86,87.12,82.85,85.9,12646400,78.39,
2/24/2009,84.63,87.08,84.1,86.4,12915300,78.85,
2/23/2009,89.3,89.33,84.19,84.37,13509600,77,
2/20/2009,88.05,89.9,87.34,88.79,12400700,81.03,
2/19/2009,91.06,92.16,88.45,88.93,12622700,81.16,
2/18/2009,91.17,92.25,90.44,91.51,8492600,83.51,
2/17/2009,91.73,92.49,90.5,90.67,8903500,82.75,
2/13/2009,94.79,95.18,93.57,93.84,6742400,85.64,
2/12/2009,94.41,95.2,92.2,95.07,9917700,86.76,
2/11/2009,93.48,95.77,93,95.16,10765700,86.84,
2/10/2009,95.58,96.82,92.96,93.27,13541300,85.12,
2/9/2009,95.93,96.98,94.72,96.82,8165800,88.36,
2/6/2009,92.51,97.1,91.65,96.14,13055900,87.74,
2/5/2009,92.13,93.2,91.22,92.41,11622900,83.88,
2/4/2009,93.74,94.91,91.82,92.83,10189800,84.26,
2/3/2009,91.07,93.73,90.16,93.48,8864500,84.85,
2/2/2009,90.6,91.86,89.69,90.93,9926400,82.53,
1/30/2009,92.23,93.48,91.25,91.65,9617000,83.19,
1/29/2009,93.58,94.58,92.02,92.51,9233500,83.97,
1/28/2009,92.7,94.94,91.91,94.82,13407200,86.07,
1/27/2009,91.77,91.97,90.5,91.66,8720800,83.2,
1/26/2009,89.77,92.67,89.52,91.6,9840800,83.14,
1/23/2009,88.4,90.7,87.81,89.49,10253700,81.23,
1/22/2009,89.83,90.74,88.11,90.07,12350700,81.75,
1/21/2009,86.29,91.6,86,91.42,24905000,82.98,
1/20/2009,84.76,84.92,81.76,81.98,13800100,74.41,
1/16/2009,84.61,85.74,83.08,84.92,11245300,77.08,
1/15/2009,83.61,84.83,82.26,84.12,11734800,76.35,
1/14/2009,84.2,84.82,82.11,83.19,9470000,75.51,
1/13/2009,85.5,86.59,84.79,85.34,7657200,77.46,
1/12/2009,84.57,86.6,84.42,85.71,8072700,77.8,
