Date,S&P 500 Earnings
1953-03,20.22
1953-04,20.47
1953-05,20.56
1953-06,20.73
1953-07,20.81
1953-08,20.90
1953-09,20.98
1953-10,20.82
1953-11,20.73
1953-12,20.65
1954-01,20.73
1954-02,20.90
1954-03,20.98
1954-04,21.22
1954-05,21.39
1954-06,21.56
1954-07,21.56
1954-08,21.64
1954-09,21.72
1954-10,22.13
1954-11,22.46
1954-12,22.96
1955-01,23.46
1955-02,24.04
1955-03,24.53
1955-04,25.28
1955-05,25.94
1955-06,26.69
1955-07,27.17
1955-08,27.83
1955-09,28.30
1955-10,28.79
1955-11,29.29
1955-12,29.89
1956-01,30.06
1956-02,30.31
1956-03,30.47
1956-04,30.11
1956-05,29.75
1956-06,29.29
1956-07,28.67
1956-08,28.45
1956-09,27.95
1956-10,27.68
1956-11,27.60
1956-12,27.34
1957-01,27.34
1957-02,27.16
1957-03,27.07
1957-04,27.05
1957-05,26.95
1957-06,26.94
1957-07,26.90
1957-08,26.98
1957-09,27.14
1957-10,26.90
1957-11,26.49
1957-12,26.26
1958-01,25.46
1958-02,24.92
1958-03,24.13
1958-04,23.51
1958-05,22.97
1958-06,22.44
1958-07,22.21
1958-08,22.21
1958-09,22.05
1958-10,22.05
1958-11,22.05
1958-12,22.13
1959-01,22.59
1959-02,23.28
1959-03,23.82
1959-04,24.50
1959-05,25.18
1959-06,25.86
1959-07,25.84
1959-08,25.92
1959-09,25.91
1959-10,25.74
1959-11,25.59
1959-12,25.52
1960-01,25.61
1960-02,25.52
1960-03,25.52
1960-04,25.13
1960-05,24.76
1960-06,24.37
1960-07,24.37
1960-08,24.45
1960-09,24.45
1960-10,24.28
1960-11,24.28
1960-12,24.28
1961-01,23.84
1961-02,23.39
1961-03,22.95
1961-04,22.80
1961-05,22.65
1961-06,22.50
1961-07,22.43
1961-08,22.50
1961-09,22.50
1961-10,22.87
1961-11,23.16
1961-12,23.53
1962-01,23.98
1962-02,24.34
1962-03,24.78
1962-04,24.92
1962-05,25.21
1962-06,25.43
1962-07,25.49
1962-08,25.64
1962-09,25.70
1962-10,26.06
1962-11,26.35
1962-12,26.72
1963-01,26.79
1963-02,26.94
1963-03,26.92
1963-04,27.21
1963-05,27.57
1963-06,27.77
1963-07,27.97
1963-08,28.26
1963-09,28.55
1963-10,28.60
1963-11,28.74
1963-12,28.79
1964-01,29.15
1964-02,29.58
1964-03,29.94
1964-04,30.30
1964-05,30.65
1964-06,30.91
1964-07,31.17
1964-08,31.55
1964-09,31.81
1964-10,32.02
1964-11,32.06
1964-12,32.27
1965-01,32.56
1965-02,32.91
1965-03,33.09
1965-04,33.34
1965-05,33.76
1965-06,33.90
1965-07,34.25
1965-08,34.53
1965-09,34.88
1965-10,35.26
1965-11,35.74
1965-12,36.12
1966-01,36.47
1966-02,36.59
1966-03,36.82
1966-04,36.86
1966-05,37.14
1966-06,37.29
1966-07,37.32
1966-08,37.16
1966-09,37.29
1966-10,37.13
1966-11,37.27
1966-12,37.33
1967-01,37.13
1967-02,36.86
1967-03,36.55
1967-04,36.17
1967-05,35.80
1967-06,35.42
1967-07,35.25
1967-08,35.08
1967-09,34.91
1967-10,34.87
1967-11,34.83
1967-12,34.80
1968-01,34.85
1968-02,34.94
1968-03,35.10
1968-04,35.26
1968-05,35.47
1968-06,35.52
1968-07,35.51
1968-08,35.60
1968-09,35.69
1968-10,35.67
1968-11,35.82
1968-12,35.91
1969-01,35.93
1969-02,35.85
1969-03,35.68
1969-04,35.54
1969-05,35.45
1969-06,35.31
1969-07,35.24
1969-08,35.11
1969-09,35.14
1969-10,34.71
1969-11,34.35
1969-12,33.93
1970-01,33.55
1970-02,33.08
1970-03,32.62
1970-04,32.13
1970-05,31.88
1970-06,31.49
1970-07,31.04
1970-08,30.70
1970-09,30.26
1970-10,29.66
1970-11,29.12
1970-12,28.53
1971-01,28.69
1971-02,28.79
1971-03,28.88
1971-04,28.97
1971-05,29.05
1971-06,29.00
1971-07,29.15
1971-08,29.24
1971-09,29.45
1971-10,29.87
1971-11,30.36
1971-12,30.69
1972-01,30.91
1972-02,30.92
1972-03,31.06
1972-04,31.25
1972-05,31.49
1972-06,31.68
1972-07,31.85
1972-08,32.04
1972-09,32.28
1972-10,32.59
1972-11,33.04
1972-12,33.43
1973-01,34.03
1973-02,34.41
1973-03,34.76
1973-04,35.23
1973-05,35.74
1973-06,36.20
1973-07,36.87
1973-08,37.00
1973-09,37.65
1973-10,38.10
1973-11,38.57
1973-12,39.09
1974-01,39.09
1974-02,38.87
1974-03,38.71
1974-04,39.14
1974-05,39.21
1974-06,39.47
1974-07,39.69
1974-08,39.79
1974-09,39.84
1974-10,39.15
1974-11,38.50
1974-12,37.91
1975-01,37.13
1975-02,36.25
1975-03,35.49
1975-04,34.68
1975-05,33.78
1975-06,32.87
1975-07,32.22
1975-08,31.91
1975-09,31.45
1975-10,31.56
1975-11,31.58
1975-12,31.74
1976-01,32.60
1976-02,33.43
1976-03,34.29
1976-04,34.95
1976-05,35.45
1976-06,36.04
1976-07,36.24
1976-08,36.44
1976-09,36.69
1976-10,36.96
1976-11,37.36
1976-12,37.68
1977-01,37.72
1977-02,37.52
1977-03,37.49
1977-04,37.59
1977-05,37.84
1977-06,37.99
1977-07,38.17
1977-08,38.37
1977-09,38.60
1977-10,38.69
1977-11,38.72
1977-12,38.81
1978-01,38.60
1978-02,38.39
1978-03,38.12
1978-04,38.17
1978-05,38.19
1978-06,38.12
1978-07,38.20
1978-08,38.43
1978-09,38.50
1978-10,38.98
1978-11,39.67
1978-12,40.31
1979-01,40.99
1979-02,41.57
1979-03,42.17
1979-04,42.41
1979-05,42.56
1979-06,42.79
1979-07,42.99
1979-08,43.21
1979-09,43.40
1979-10,43.29
1979-11,43.10
1979-12,42.88
1980-01,42.67
1980-02,42.49
1980-03,42.25
1980-04,41.45
1980-05,40.74
1980-06,39.98
1980-07,39.71
1980-08,39.16
1980-09,38.57
1980-10,38.36
1980-11,38.21
1980-12,38.00
1981-01,37.50
1981-02,36.91
1981-03,36.46
1981-04,36.56
1981-05,36.65
1981-06,36.67
1981-07,36.48
1981-08,36.40
1981-09,36.26
1981-10,36.25
1981-11,36.21
1981-12,36.16
1982-01,35.63
1982-02,35.07
1982-03,34.68
1982-04,34.05
1982-05,33.22
1982-06,32.33
1982-07,31.71
1982-08,31.17
1982-09,30.65
1982-10,29.86
1982-11,29.24
1982-12,28.66
1983-01,28.44
1983-02,28.23
1983-03,28.08
1983-04,28.01
1983-05,27.95
1983-06,28.00
1983-07,28.42
1983-08,28.85
1983-09,29.23
1983-10,29.67
1983-11,30.16
1983-12,30.65
1984-01,31.36
1984-02,32.09
1984-03,32.92
1984-04,33.42
1984-05,34.01
1984-06,34.57
1984-07,34.70
1984-08,34.82
1984-09,34.90
1984-10,34.87
1984-11,34.91
1984-12,34.97
1985-01,34.74
1985-02,34.39
1985-03,34.09
1985-04,33.39
1985-05,32.73
1985-06,32.11
1985-07,31.78
1985-08,31.48
1985-09,31.12
1985-10,30.58
1985-11,30.09
1985-12,29.58
1986-01,29.44
1986-02,29.46
1986-03,29.54
1986-04,29.71
1986-05,29.77
1986-06,29.73
1986-07,29.83
1986-08,29.86
1986-09,29.82
1986-10,29.55
1986-11,29.27
1986-12,29.00
1987-01,29.24
1987-02,29.53
1987-03,29.81
1987-04,29.20
1987-05,28.67
1987-06,28.12
1987-07,28.98
1987-08,29.75
1987-09,30.52
1987-10,31.50
1987-11,32.51
1987-12,33.56
1988-01,34.16
1988-02,34.78
1988-03,35.31
1988-04,37.08
1988-05,38.88
1988-06,40.64
1988-07,41.12
1988-08,41.62
1988-09,41.99
1988-10,42.48
1988-11,43.08
1988-12,43.64
1989-01,44.15
1989-02,44.70
1989-03,45.17
1989-04,45.04
1989-05,44.92
1989-06,44.98
1989-07,43.96
1989-08,42.98
1989-09,41.94
1989-10,41.28
1989-11,40.71
1989-12,40.19
1990-01,39.07
1990-02,38.18
1990-03,37.26
1990-04,36.97
1990-05,36.66
1990-06,36.22
1990-07,36.35
1990-08,36.29
1990-09,36.26
1990-10,35.82
1990-11,35.51
1990-12,35.30
1991-01,34.82
1991-02,34.53
1991-03,34.21
1991-04,33.33
1991-05,32.41
1991-06,31.49
1991-07,30.61
1991-08,29.70
1991-09,28.74
1991-10,27.70
1991-11,26.64
1991-12,25.63
1992-01,25.72
1992-02,25.74
1992-03,25.74
1992-04,26.14
1992-05,26.57
1992-06,26.91
1992-07,27.38
1992-08,27.82
1992-09,28.26
1992-10,28.70
1992-11,29.21
1992-12,29.77
1993-01,30.01
1993-02,30.30
1993-03,30.58
1993-04,30.23
1993-05,29.93
1993-06,29.63
1993-07,30.18
1993-08,30.64
1993-09,31.13
1993-10,31.75
1993-11,32.47
1993-12,33.21
1994-01,33.54
1994-02,33.84
1994-03,34.14
1994-04,35.34
1994-05,36.56
1994-06,37.68
1994-07,38.64
1994-08,39.54
1994-09,40.48
1994-10,42.07
1994-11,43.63
1994-12,45.24
1995-01,46.01
1995-02,46.78
1995-03,47.58
1995-04,48.34
1995-05,49.15
1995-06,49.97
1995-07,50.33
1995-08,50.56
1995-09,50.82
1995-10,50.06
1995-11,49.52
1995-12,48.96
1996-01,48.72
1996-02,48.59
1996-03,48.38
1996-04,48.61
1996-05,48.93
1996-06,49.30
1996-07,49.72
1996-08,50.14
1996-09,50.49
1996-10,51.60
1996-11,52.77
1996-12,54.04
1997-01,54.57
1997-02,55.11
1997-03,55.66
1997-04,55.73
1997-05,55.91
1997-06,55.98
1997-07,55.95
1997-08,55.89
1997-09,55.79
1997-10,55.23
1997-11,54.85
1997-12,54.50
1998-01,54.31
1998-02,54.13
1998-03,53.95
1998-04,53.59
1998-05,53.23
1998-06,52.91
1998-07,52.45
1998-08,51.98
1998-09,51.53
1998-10,51.23
1998-11,51.06
1998-12,50.92
1999-01,51.09
1999-02,51.34
1999-03,51.48
1999-04,52.28
1999-05,53.45
1999-06,54.62
1999-07,55.76
1999-08,56.92
1999-09,57.94
1999-10,59.68
1999-11,61.50
1999-12,63.34
2000-01,64.36
2000-02,65.19
2000-03,65.85
2000-04,66.24
2000-05,66.57
2000-06,66.65
2000-07,67.25
2000-08,68.02
2000-09,68.42
2000-10,66.74
2000-11,65.12
2000-12,63.59
2001-01,61.27
2001-02,59.12
2001-03,57.07
2001-04,53.24
2001-05,49.41
2001-06,45.74
2001-07,42.34
2001-08,38.83
2001-09,35.14
2001-10,33.75
2001-11,32.31
2001-12,30.92
2002-01,30.85
2002-02,30.74
2002-03,30.57
2002-04,31.24
2002-05,32.08
2002-06,32.90
2002-07,34.33
2002-08,35.69
2002-09,37.10
2002-10,35.91
2002-11,34.80
2002-12,33.75
2003-01,34.71
2003-02,35.55
2003-03,36.43
2003-04,38.21
2003-05,39.97
2003-06,41.62
2003-07,43.19
2003-08,44.65
2003-09,46.10
2003-10,50.21
2003-11,54.40
2003-12,58.53
2004-01,59.55
2004-02,60.51
2004-03,61.41
2004-04,62.84
2004-05,64.10
2004-06,65.51
2004-07,66.24
2004-08,66.84
2004-09,67.33
2004-10,67.27
2004-11,67.54
2004-12,68.09
2005-01,68.63
2005-02,68.92
2005-03,69.06
2005-04,69.75
2005-05,70.98
2005-06,72.09
2005-07,72.97
2005-08,73.81
2005-09,74.11
2005-10,75.20
2005-11,77.07
2005-12,78.64
2006-01,79.06
2006-02,79.93
2006-03,80.49
2006-04,80.48
2006-05,80.74
2006-06,81.25
2006-07,82.49
2006-08,83.80
2006-09,85.70
2006-10,87.24
2006-11,88.45
2006-12,89.39
2007-01,89.72
2007-02,89.83
2007-03,89.61
2007-04,89.66
2007-05,89.75
2007-06,90.20
2007-07,87.98
2007-08,85.91
2007-09,83.43
2007-10,78.87
2007-11,74.04
2007-12,69.73
2008-01,67.36
2008-02,65.15
2008-03,62.59
2008-04,59.11
2008-05,55.55
2008-06,51.96
2008-07,49.86
2008-08,48.24
2008-09,46.48
2008-10,36.37
2008-11,26.30
2008-12,15.66
2009-01,12.80
2009-02,9.94
2009-03,7.14
2009-04,7.35
2009-05,7.54
2009-06,7.71
2009-07,9.44
2009-08,11.14
2009-09,12.85
2009-10,25.95
2009-11,39.04
2009-12,52.24
2010-01,55.45
